datetime,SRI,SJI
1907-05-28,13.1701727757,5.9202461054
1907-05-29,13.1745831721,5.9220287384
1907-05-30,13.1789168033,5.923792427
1907-05-31,13.1831329557,5.925614369
1907-06-01,13.180530240900001,5.9219791658
1907-06-02,13.1805698561,5.921784429200001
1907-06-03,13.1805698561,5.921742479000001
1907-06-04,13.1805698561,5.9217172177999995
1907-06-05,13.1805698561,5.921675221999999
1907-06-06,13.1805698561,5.9215854008
1907-06-07,13.1805698561,5.921536851199999
1907-06-08,13.1805698561,5.921515079599999
1907-06-09,13.1805698561,5.921457812
1907-06-10,13.1805698561,5.9214344954
1907-06-11,13.1805698561,5.921305263799999
1907-06-12,13.1805698561,5.9212780796
1907-06-13,13.1805698561,5.921215418599999
1907-06-14,13.1805698561,5.9211535286
1907-06-15,13.1805698561,5.9210565974
1907-06-16,13.1805698561,5.921000222
1907-06-17,13.1805698561,5.920959487399999
1907-06-18,13.1805698561,5.9208885614
1907-06-19,13.1805698561,5.9208383714
1907-06-20,13.1805698561,5.920710248599999
1907-06-21,13.1805698561,5.9206663202000005
1907-06-22,13.2070799077,5.920585901599999
1907-06-23,13.2424503077,5.920539515
1907-06-24,13.275453907700001,5.9204627276
1907-06-25,13.307412707700001,5.920348283000001
1907-06-26,13.337665107700001,5.920266760999999
1907-06-27,13.366628307700001,5.920207346
1907-06-28,13.3971935077,5.9201267473999994
1907-06-29,13.426515827700001,5.9200431158
1907-06-30,13.4544841477,5.9199135854
1907-07-01,13.481498867700001,5.9196578462
1907-07-02,13.5116712677,5.9195310152000005
1907-07-03,13.540567267700002,5.9195309708
1907-07-04,13.5681108677,5.9195310272
1907-07-05,13.5959796677,5.919530696599999
1907-07-06,13.620996467700001,5.919530696599999
1907-07-07,13.646686867700001,5.919530696599999
1907-07-08,13.672598067700001,5.9195304344
1907-07-09,13.6962960677,5.9195300606
1907-07-10,13.718748067700002,5.919530116399999
1907-07-11,13.740362067700001,5.919530116399999
1907-07-12,13.761391267700002,5.919530116399999
1907-07-13,13.779501827700003,5.919530072000001
1907-07-14,13.796427467700003,5.919530072000001
1907-07-15,13.814324867700002,5.9195292266
1907-07-16,13.831839227700002,5.9195290082
1907-07-17,13.847611467700002,5.919529064000001
1907-07-18,13.862930627700003,5.9195286896
1907-07-19,13.879414867700001,5.9195286452
1907-07-20,13.895350867700001,5.949589810999999
1907-07-21,13.910131747700001,5.975835550999999
1907-07-22,13.924653667700001,6.002517850999999
1907-07-23,13.938610307700001,6.030680531
1907-07-24,13.952401507700001,6.057165550999999
1907-07-25,13.9677223877,6.079561570999999
1907-07-26,13.981067867700002,6.099686050999999
1907-07-27,13.9953766677,6.120070751
1907-07-28,14.008432067700001,6.137741050999999
1907-07-29,14.021804747700001,6.153799091
1907-07-30,14.034312227700001,6.169437310999999
1907-07-31,14.046416547700002,6.184308310999999
1907-08-01,14.057900387700002,6.198205391
1907-08-02,14.057900387700002,6.198205391
1907-08-03,14.057900387700002,6.198205391
1907-08-04,14.057900387700002,6.198205391
1907-08-05,14.057900387700002,6.198205391
1907-08-06,14.057900387700002,6.198205391
1907-08-07,14.057900387700002,6.198205391
1907-08-08,14.057900387700002,6.198205391
1907-08-09,14.057900387700002,6.198205391
1907-08-10,14.057900387700002,6.198205391
1907-08-11,14.057900387700002,6.198205391
1907-08-12,14.057900387700002,6.198205391
1907-08-13,14.057900387700002,6.198205391
